Year,current_firstQuintile,current_secondQuintile,current_thirdQuintile,current_fourthQuintile,current_fifthQuintile,current_top5Percent,adjusted_firstQuintile,adjusted_secondQuintile,adjusted_thirdQuintile,adjusted_fourthQuintile,adjusted_fifthQuintile,adjusted_top5Percent
2021,14860,41030,70880,115500,269400,480200,16020,44240,76430,124500,290400,517800
2020,14670,39740,68240,110300,254400,447600,16530,44800,76920,124300,286800,504500
2019,15290,40650,68940,111100,254400,451100,17410,46300,78520,126600,289800,513800
2018,13780,37290,63570,101600,233900,416500,15920,43110,73480,117400,270300,481400
2017,13330,35500,61350,99010,229000,406400,15720,41860,72340,116800,270000,479100
2016,12940,34500,59150,95180,213900,375100,15530,41400,70970,114200,256700,450100
2015,12460,32630,56830,92030,202400,350900,15080,39500,68790,111400,245000,424700
2014,11680,31090,54040,87830,194100,332300,14120,37600,65370,106200,234700,402000
2013,11590,30810,53740,86470,193400,334500,14220,37800,65930,106100,237200,410300
2012,11490,29700,51180,82100,181900,318100,14270,36870,63550,101900,225900,394900
2011,11240,29200,49840,80080,178000,311400,14220,36960,63080,101400,225300,394200
2010,10990,28530,49170,78880,169400,287200,14350,37230,64160,102900,221000,374800
2009,11550,29260,49530,78690,170800,295400,15280,38700,65530,104100,226000,390800
2008,11660,29520,50130,79760,171100,294700,15360,38890,66050,105100,225400,388300
2007,11550,29440,49970,79110,168000,287200,15780,40210,68250,108100,229400,392300
2006,11350,28780,48220,76330,168200,297400,15900,40310,67550,106900,235600,416600
2005,10660,27360,46300,72830,159600,281200,15360,39440,66740,105000,230000,405300
2004,10240,26210,44410,70030,151400,263900,15190,38880,65870,103900,224600,391400
2003,9996,25680,43590,68990,147100,253200,15200,39040,66270,104900,223600,385000
2002,9990,25400,42800,67330,143700,251000,15510,39420,66430,104500,223100,389600
2001,10140,25470,42630,66840,146000,260500,15930,40020,66990,105000,229400,409300
2000,10160,25360,42230,65650,142300,252400,16320,40750,67860,105500,228600,405600
1999,9915,24350,40750,63420,135300,235100,16480,40470,67740,105400,224800,390800
1998,9223,23290,38970,60270,127500,222300,15650,39510,66120,102300,216400,377100
1997,8839,22100,37180,57580,122800,215400,15200,38010,63940,99030,211100,370500
1996,8595,21100,35490,54920,115500,201200,15100,37060,62340,96480,202900,353500
1995,8345,20400,34110,52430,109400,188800,15050,36780,61500,94530,197300,340500
1994,7714,19220,32390,50400,105900,183000,14240,35480,59770,93020,195500,337800
1993,7359,18660,31270,48600,101300,173800,13880,35190,58980,91660,191000,327800
1992,7256,18180,30630,47020,91110,144600,14020,35140,59200,90880,176100,279500
1991,7226,18150,30150,45960,88130,137500,14320,35970,59750,91080,174700,272600
1990,7166,18030,29780,44900,87140,138800,14720,37030,61170,92220,179000,285000
1989,6994,17400,28930,43750,85530,138200,15060,37480,62300,94230,184200,297600
1988,6465,16320,27290,41250,78760,124200,14540,36690,61360,92750,177100,279300
1987,6132,15580,26060,39380,74900,118000,14300,36330,60750,91820,174600,275100
1986,5774,14850,24860,37440,70870,111000,13920,35800,59910,90250,170800,267600
1985,5614,14230,23620,35520,66350,102400,13750,34860,57860,87030,162600,250800
1984,5436,13540,22440,33780,62120,93770,13770,34300,56840,85580,157400,237600
1983,5053,12690,20990,31490,57820,87360,13340,33500,55390,83120,152600,230600
1982,4790,12120,20060,29840,54730,82700,13170,33330,55180,82060,150500,227400
1981,4602,11460,18990,28310,50570,75140,13420,33430,55390,82560,147500,219100
1980,4310,10730,17700,26080,46500,69480,13770,34270,56550,83320,148600,222000
1979,4006,9964,16430,24110,43270,65980,14210,35350,58280,85530,153500,234100
1978,3685,9050,14940,21890,39080,59490,14310,35150,58040,85020,151800,231000
1977,3335,8209,13580,19900,35480,54280,13840,34060,56340,82560,147200,225200
1976,3152,7717,12690,18430,32620,49700,13930,34090,56070,81420,144100,219600
1975,2909,7146,11720,17040,30080,45640,13580,33370,54750,79550,140500,213100
1974,2783,6917,11150,16100,28520,43360,14080,34990,56390,81440,144300,219300
1973,2539,6384,10470,15060,26950,41520,14110,35470,58180,83700,149700,230700
1972,2283,5897,9624,13820,24810,38450,13460,34770,56740,81460,146200,226700
1971,2092,5529,8965,12750,22580,34640,12750,33690,54620,77650,137600,211000
1970,1992,5396,8689,12250,21680,33280,12660,34280,55200,77810,137700,211400
1969,1932,5216,8335,11680,20520,31590,12870,34750,55530,77790,136700,210400
1968,1806,4842,7680,10710,18620,28460,12540,33630,53340,74400,129300,197700
